"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Unknown","Nokia Unknown","Linux","Series 40","SymbianOS","Other"
2020-01,67.82,31.65,0.14,0.18,0.08,0.04,0.02,0.03,0.02,0.02,0.01
2020-02,65.24,33.89,0.26,0.21,0.13,0.09,0.01,0.04,0.05,0.06,0.02
2020-03,63.12,35.83,0.63,0.18,0.08,0.06,0,0.04,0,0.03,0.01
2020-04,65.3,34.1,0.3,0.14,0.06,0.03,0.02,0.03,0.02,0.01,0.01
2020-05,65.45,34.16,0.23,0.05,0.03,0.01,0.04,0,0.02,0,0
2020-06,66.45,33.14,0.26,0.05,0.04,0.02,0.03,0,0.01,0.01,0
2020-07,64.27,35.17,0.41,0.04,0.03,0.01,0.05,0,0.02,0,0
2020-08,61.91,37.63,0.34,0.04,0.03,0,0.03,0,0.01,0,0
2020-09,63.09,36.65,0.19,0.03,0.01,0,0.01,0,0.01,0,0
2020-10,63.26,36.42,0.26,0.03,0.01,0,0.01,0,0,0,0
2020-11,60.52,39.17,0.26,0.03,0.01,0,0,0,0,0,0
2020-12,58.97,40.76,0.23,0.02,0.01,0,0,0,0,0,0
