"Date","iOS","Android","Samsung","BlackBerry OS","Windows","Unknown","Other"
2020-01,52.92,46.63,0.08,0.34,0.02,0,0.01
2020-02,53.67,45.84,0.11,0.35,0.02,0,0
2020-03,52.42,47.2,0.23,0.11,0.04,0,0
2020-04,53.2,46.21,0.39,0.13,0.05,0.02,0
2020-05,51.12,48.3,0.46,0.1,0.01,0.01,0
2020-06,52.76,46.81,0.25,0.1,0.02,0.06,0
2020-07,53.18,46.43,0.29,0.1,0,0,0
2020-08,51.69,48.07,0.16,0.05,0,0.02,0
2020-09,52.09,47.55,0.26,0.08,0.01,0,0
2020-10,56.06,43.47,0.44,0.03,0,0,0
2020-11,59.77,40.03,0.17,0.01,0.01,0,0
2020-12,59.39,40.23,0.36,0.01,0,0,0.01
