"Date","Android","iOS","Samsung","Series 40","Linux","Unknown","Windows","Nokia Unknown","fixed-auto","Other"
2020-01,91.56,8.23,0.04,0.09,0.02,0.01,0.01,0.02,0,0.01
2020-02,89.65,9.97,0.03,0.12,0.04,0.09,0.05,0.03,0,0.01
2020-03,89.7,10.05,0.07,0.02,0.02,0.05,0.07,0,0,0.02
2020-04,88.5,11.39,0.01,0.03,0,0.02,0.03,0.01,0,0.01
2020-05,89.5,10.38,0.02,0.03,0.01,0.02,0,0.03,0,0
2020-06,90.03,9.8,0.02,0.03,0,0.02,0.07,0.02,0,0
2020-07,90.06,9.6,0.11,0.03,0.06,0.03,0.05,0.04,0,0.03
2020-08,90.65,9.02,0.09,0.01,0.15,0.01,0.02,0.04,0,0.01
2020-09,90.26,9.53,0.04,0.02,0.08,0.01,0.01,0.04,0,0.02
2020-10,89.19,10.44,0.29,0.01,0.02,0.05,0,0.01,0,0.01
2020-11,90.09,9.53,0.17,0.03,0.01,0,0,0.01,0.15,0
2020-12,89.87,9.93,0.12,0,0.02,0.02,0,0.02,0,0.01
