"Date","Android","iOS","Samsung","Windows","Nokia Unknown","BlackBerry OS","Series 40","Unknown","Linux","Other"
2020-01,78.27,20.36,0.74,0.31,0.06,0.06,0.04,0.07,0.03,0.05
2020-02,77.03,21.6,0.78,0.39,0.05,0.03,0.03,0.03,0.02,0.03
2020-03,79.62,18.69,1.14,0.42,0,0.03,0,0.04,0.02,0.03
2020-04,82.16,16.86,0.69,0.23,0.01,0.01,0.01,0,0.01,0.01
2020-05,77.09,21.65,1.06,0.11,0.02,0.02,0.02,0.01,0.01,0.01
2020-06,77.25,21.54,1.04,0.09,0.02,0.02,0.01,0.01,0.01,0.01
2020-07,76.93,21.9,0.98,0.12,0.02,0.01,0.01,0,0.01,0.01
2020-08,77.49,21.49,0.87,0.08,0.02,0.01,0.02,0.01,0.01,0.01
2020-09,76.42,22.4,1,0.11,0.02,0.01,0.01,0,0.01,0.01
2020-10,76.69,22.27,0.93,0.06,0.01,0.01,0.02,0,0.01,0.01
2020-11,77.72,20.97,1.16,0.12,0.02,0.01,0.01,0,0,0
2020-12,76.79,22.02,1.01,0.11,0.02,0,0.01,0.01,0,0.03
