"Date","Android","iOS","Samsung","Nokia Unknown","Windows","BlackBerry OS","Linux","Other"
2020-01,87.18,12.32,0.1,0.2,0.11,0.03,0.02,0.05
2020-02,87.24,12.44,0.08,0.08,0.09,0.02,0.01,0.04
2020-03,87.8,11.96,0.07,0.04,0.08,0.02,0.01,0.02
2020-04,88.06,11.72,0.06,0.06,0.04,0.02,0.02,0.02
2020-05,87.96,11.82,0.07,0.06,0.03,0.02,0.01,0.03
2020-06,87.71,12.04,0.09,0.08,0.03,0.01,0.01,0.03
2020-07,88.02,11.71,0.11,0.09,0.02,0.01,0.01,0.02
2020-08,90.75,8.98,0.1,0.08,0.02,0.02,0.01,0.02
2020-09,92.24,7.48,0.12,0.09,0.02,0.01,0.01,0.02
2020-10,93.94,5.79,0.11,0.1,0.02,0.01,0.01,0.02
2020-11,93.98,5.77,0.14,0.06,0.01,0.01,0.01,0.02
2020-12,93.81,5.94,0.14,0.07,0.01,0.01,0.01,0.02
