"Date","Android","Unknown","iOS","Linux","Series 40","Samsung","Tizen","Windows","Nokia Unknown","SymbianOS","BlackBerry OS","Other"
2020-01,83.6,9.43,3.83,0.67,0.53,0.47,0.31,0.42,0.39,0.24,0.09,0.03
2020-02,86.98,5.34,4.9,0.74,0.36,0.29,0.21,0.73,0.19,0.18,0.05,0.03
2020-03,91.54,0.33,6.37,0.33,0.11,0.12,0.18,0.78,0.01,0.15,0.05,0.03
2020-04,89.18,1.89,7.55,0.23,0.12,0.17,0.21,0.43,0.09,0.02,0.08,0.04
2020-05,89.77,3.03,5.99,0.3,0.16,0.19,0.21,0.11,0.13,0.02,0.04,0.04
2020-06,90.13,3.97,4.54,0.38,0.19,0.22,0.25,0.08,0.13,0.02,0.06,0.03
2020-07,88.54,6.09,3.95,0.37,0.21,0.21,0.24,0.07,0.22,0.02,0.06,0.03
2020-08,87.58,7,3.91,0.38,0.24,0.26,0.24,0.06,0.21,0.04,0.05,0.02
2020-09,87.8,7.13,3.65,0.36,0.25,0.22,0.23,0.04,0.22,0.03,0.04,0.02
2020-10,87.91,7.12,3.56,0.43,0.24,0.23,0.18,0.04,0.21,0.02,0.03,0.02
2020-11,88.2,7.13,3.32,0.39,0.22,0.26,0.16,0.05,0.21,0.02,0.02,0.02
2020-12,88.58,7.11,3.13,0.32,0.22,0.22,0.15,0.03,0.19,0.02,0.02,0.02
