"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,68.21,31.6,0.12,0.04,0.02,0.01
2020-02,65.74,34,0.18,0.03,0.04,0.01
2020-03,62.74,36.96,0.25,0.02,0.02,0
2020-04,63.38,36.26,0.31,0.02,0.01,0.01
2020-05,62.59,37.14,0.24,0.02,0.01,0.01
2020-06,63.73,36.1,0.13,0.02,0.01,0.01
2020-07,62.12,37.74,0.11,0.01,0,0.01
2020-08,63.78,36.09,0.11,0.02,0,0.01
2020-09,66.81,33.07,0.08,0.03,0,0.01
2020-10,61.71,38.15,0.11,0.01,0,0.02
2020-11,62.21,37.37,0.38,0.01,0.02,0.02
2020-12,57.32,42.4,0.25,0,0,0.02
