"Date","Android","iOS","Windows","Samsung","Unknown","Series 40","BlackBerry OS","Other"
2020-01,79.41,19.91,0.55,0.04,0.02,0.02,0,0.04
2020-02,78.83,18.29,2.76,0.03,0.02,0.01,0,0.06
2020-03,77.12,20.31,2.45,0.03,0.02,0.01,0,0.05
2020-04,76.57,22.43,0.82,0.06,0.04,0.01,0.07,0.01
2020-05,75.91,23.61,0.28,0.1,0.01,0.02,0.02,0.04
2020-06,76.53,22.77,0.49,0.1,0.02,0.02,0.04,0.02
2020-07,75.97,23.22,0.5,0.18,0.05,0.03,0.03,0.02
2020-08,77.37,22.32,0.08,0.16,0.02,0.04,0.01,0.01
2020-09,76.8,22.99,0.03,0.13,0.01,0.04,0,0.01
2020-10,76.57,23.19,0,0.11,0.09,0.03,0,0.01
2020-11,75.82,23.73,0.17,0.19,0.07,0.01,0,0.01
2020-12,80.65,19.13,0.03,0.13,0.04,0.01,0,0.01
