"Date","Android","iOS","Unknown","Tizen","BlackBerry OS","Series 40","Windows","Linux","Nokia Unknown","SymbianOS","Samsung","KaiOS","LG","Other"
2020-01,87.67,5.53,3.19,0.34,0.88,0.41,1.19,0.38,0.17,0.17,0.05,0,0.01,0.01
2020-02,88.28,6.66,1.92,0.41,0.88,0.3,0.91,0.31,0.08,0.18,0.02,0,0.01,0.02
2020-03,87.87,7.08,0.67,2.56,0.76,0.04,0.72,0.18,0.01,0.08,0.01,0,0,0.01
2020-04,86.55,7.11,3.39,1.16,0.58,0.39,0.44,0.26,0.04,0.06,0.01,0,0,0
2020-05,88.34,6.54,2.61,1.02,0.43,0.34,0.2,0.31,0.07,0.09,0.04,0,0,0.03
2020-06,89.03,5.11,2.68,1.28,0.46,0.4,0.29,0.34,0.3,0.06,0.03,0,0.01,0.01
2020-07,89.85,5.85,2.18,0.55,0.36,0.5,0.24,0.27,0.07,0.07,0.03,0,0.02,0.01
2020-08,89.56,5.52,2.73,0.5,0.17,0.67,0.15,0.35,0.15,0.1,0.06,0.02,0.02,0.01
2020-09,90.19,5.39,2.27,0.57,0.14,0.52,0.2,0.39,0.15,0.05,0.03,0.03,0.07,0
2020-10,91.36,4.94,1.81,0.45,0.1,0.44,0.23,0.44,0.1,0.06,0.02,0.02,0.01,0.02
2020-11,88.98,5.79,3.14,0.53,0.25,0.36,0.17,0.46,0.1,0.05,0.13,0.03,0.01,0
2020-12,89.96,4.9,3.06,0.41,0.26,0.27,0.12,0.56,0.08,0.1,0.13,0.15,0,0
