"Date","Android","iOS","Samsung","Series 40","Nokia Unknown","Windows","Unknown","Other"
2020-01,89.38,9.96,0.15,0.26,0.03,0.12,0.04,0.06
2020-02,88.08,11.28,0.12,0.09,0.01,0.29,0.07,0.06
2020-03,92.76,6.98,0.1,0,0,0.09,0.04,0.02
2020-04,89.67,9.99,0.15,0.01,0.01,0.09,0.04,0.04
2020-05,88.31,11.15,0.25,0.01,0.19,0.02,0.04,0.02
2020-06,89.17,10.02,0.15,0.15,0.37,0.01,0.11,0.02
2020-07,88.85,10.34,0.19,0.11,0.31,0.01,0.17,0.01
2020-08,90.22,9.46,0.15,0.11,0.01,0.01,0.02,0.03
2020-09,90.48,9.16,0.21,0.08,0.02,0.01,0.01,0.02
2020-10,90.21,9.44,0.22,0.04,0.01,0.01,0.02,0.04
2020-11,89.76,9.85,0.2,0.1,0.01,0.01,0.02,0.06
2020-12,90.23,9.31,0.24,0.09,0.01,0.01,0.06,0.04
