"Date","Android","iOS","Samsung","Windows","Unknown","Playstation","Other"
2020-01,85.41,14.22,0.12,0.15,0.04,0.01,0.05
2020-02,85.38,14.25,0.12,0.15,0.03,0.02,0.05
2020-03,83.86,15.78,0.14,0.13,0.04,0.02,0.03
2020-04,85.34,14.33,0.14,0.09,0.04,0.03,0.03
2020-05,83.63,16.04,0.18,0.05,0.05,0.02,0.03
2020-06,85.48,14.22,0.16,0.04,0.05,0.02,0.02
2020-07,83.87,15.84,0.16,0.05,0.04,0.02,0.02
2020-08,84.05,15.68,0.13,0.04,0.05,0.02,0.03
2020-09,83.94,15.83,0.11,0.04,0.04,0.02,0.03
2020-10,83.96,15.8,0.12,0.04,0.04,0.02,0.02
2020-11,83.89,15.8,0.15,0.05,0.06,0.02,0.03
2020-12,82.89,16.71,0.18,0.05,0.11,0.02,0.03
