"Date","Android","iOS","Samsung","Unknown","BlackBerry OS","Nokia Unknown","Other"
2020-01,82.05,17.8,0.05,0.03,0.03,0.01,0.03
2020-02,81.43,18.35,0.06,0.04,0.07,0.02,0.04
2020-03,79.87,19.93,0.07,0.03,0.08,0,0.03
2020-04,77.19,22.65,0.06,0.05,0.03,0.01,0.02
2020-05,76.31,23.54,0.06,0.04,0.03,0,0.01
2020-06,78.05,21.77,0.06,0.04,0.06,0.01,0.01
2020-07,78.21,21.63,0.05,0.03,0.04,0.03,0.01
2020-08,79.14,20.67,0.08,0.06,0.02,0.02,0.01
2020-09,80.72,19.14,0.08,0.03,0,0.02,0.01
2020-10,78.83,20.98,0.11,0.03,0,0.03,0.01
2020-11,79.36,20.48,0.11,0.02,0,0.01,0.01
2020-12,77.12,22.71,0.11,0.02,0,0.01,0.01
