"Date","Android","iOS","Samsung","Playstation","Windows","Unknown","Other"
2020-01,80.47,19.37,0.07,0.02,0.03,0.02,0.01
2020-02,80.04,19.69,0.09,0.02,0.07,0.07,0.02
2020-03,78.18,21.62,0.08,0.07,0.04,0.01,0.01
2020-04,77.09,22.63,0.05,0.19,0.01,0,0.02
2020-05,76.53,23.33,0.07,0.04,0.01,0.01,0.01
2020-06,77.04,22.79,0.11,0.03,0.01,0.02,0
2020-07,78.41,21.36,0.15,0.03,0.01,0.02,0.01
2020-08,76.28,23.38,0.27,0.02,0.01,0.01,0.03
2020-09,77.66,22.13,0.17,0.01,0.01,0.01,0.01
2020-10,79.67,20.12,0.12,0.05,0.02,0.02,0.02
2020-11,78.34,21.49,0.12,0.02,0.01,0.01,0
2020-12,80.17,19.67,0.12,0,0.01,0.03,0
