"Date","Android","iOS","Samsung","Windows","Unknown","Other"
2020-01,74.68,25.11,0.06,0.11,0.03,0.02
2020-02,73.73,25.89,0.06,0.28,0.02,0.02
2020-03,74.03,25.63,0.09,0.23,0.01,0.01
2020-04,73.59,26.19,0.12,0.06,0.02,0.01
2020-05,74.16,25.68,0.1,0.01,0.03,0.01
2020-06,74.54,25.3,0.11,0.01,0.02,0.01
2020-07,73.71,26.16,0.1,0.01,0.02,0.01
2020-08,73.76,26.09,0.12,0.01,0.02,0
2020-09,73.33,26.5,0.12,0.02,0.01,0.01
2020-10,73.85,25.99,0.14,0,0.01,0.01
2020-11,71.88,27.91,0.15,0.04,0.02,0.01
2020-12,74.83,25.01,0.13,0.01,0.01,0
