"Date","Android","iOS","Unknown","Windows","Linux","BlackBerry OS","Series 40","Samsung","SymbianOS","Nokia Unknown","Playstation","Sony Ericsson","Other"
2020-01,85.47,4.15,8.5,1.1,0.23,0.13,0.16,0.08,0.08,0.03,0.01,0.05,0.01
2020-02,88.23,6,4.02,1.24,0.16,0.18,0.04,0.03,0.06,0.02,0.02,0,0.01
2020-03,91.93,6.05,0.44,1.28,0.02,0.24,0.01,0.02,0.01,0,0,0,0.01
2020-04,90.4,7.35,1.34,0.59,0.11,0.07,0.02,0.06,0.02,0.02,0.01,0,0.01
2020-05,91.05,6.87,1.49,0.17,0.17,0.08,0.06,0.05,0.01,0.02,0.01,0,0.01
2020-06,91.61,6.45,1.47,0.14,0.13,0.07,0.06,0.02,0.02,0.01,0.01,0,0.01
2020-07,90.7,6.56,2.03,0.26,0.18,0.09,0.04,0.07,0.02,0,0.01,0,0.02
2020-08,90.39,6.61,2.43,0.24,0.1,0.05,0.07,0.04,0.02,0.01,0.02,0,0.01
2020-09,89.56,7.02,2.85,0.18,0.12,0.07,0.05,0.08,0.04,0,0.02,0.01,0
2020-10,88.09,8.47,2.86,0.18,0.14,0.03,0.09,0.07,0.02,0.01,0.02,0,0.01
2020-11,87.9,8.23,3,0.33,0.15,0.05,0.13,0.06,0.02,0.04,0,0.06,0.02
2020-12,89,6.95,3.09,0.46,0.15,0.04,0.07,0.09,0.03,0.1,0.01,0,0.02
