"Date","Android","iOS","Samsung","Windows","Linux","Playstation","Unknown","BlackBerry OS","Other"
2020-01,83.3,16.36,0.2,0.07,0,0.01,0,0.01,0.04
2020-02,82.15,17.46,0.26,0.09,0,0.01,0,0.01,0.02
2020-03,78.72,20.88,0.27,0.07,0,0.04,0,0.02,0
2020-04,80.46,19.16,0.27,0.04,0.01,0.03,0,0.02,0
2020-05,80.8,18.64,0.35,0.01,0.05,0.1,0.02,0.02,0.01
2020-06,81.09,18.41,0.39,0.02,0.04,0.03,0.02,0.01,0
2020-07,81.8,17.66,0.38,0.02,0.04,0.02,0.06,0.02,0
2020-08,82.26,17.17,0.39,0.03,0.1,0.01,0.03,0.01,0
2020-09,81.75,17.58,0.51,0.01,0.1,0.02,0.01,0.01,0
2020-10,80.16,19.32,0.38,0.01,0.05,0.04,0.03,0.01,0
2020-11,80.44,19.03,0.42,0.03,0.05,0.01,0,0.01,0
2020-12,80.39,19.09,0.41,0.02,0.02,0.04,0.01,0.02,0
