"Date","Android","iOS","Samsung","Series 40","Windows","SymbianOS","Unknown","Linux","Nokia Unknown","Other"
2020-01,84.55,14.91,0.33,0.08,0.07,0.01,0.01,0.02,0.02,0.01
2020-02,84.51,15.07,0.24,0.06,0.06,0.01,0.02,0.01,0.02,0.01
2020-03,84.05,15.65,0.2,0.01,0.06,0,0.02,0.01,0,0.01
2020-04,83.09,16.58,0.2,0.05,0.04,0,0.01,0.01,0.01,0
2020-05,83.52,15.99,0.34,0.07,0.01,0.01,0.02,0.02,0.01,0.01
2020-06,83.91,15.69,0.26,0.06,0.02,0,0.02,0.02,0.01,0.01
2020-07,84.65,15.04,0.21,0.04,0.01,0,0.01,0.02,0.01,0.01
2020-08,84.56,15.13,0.21,0.05,0.01,0.01,0.01,0.01,0.01,0.01
2020-09,84.34,15.35,0.17,0.04,0.01,0.04,0.02,0.01,0.01,0.01
2020-10,84.43,15.26,0.16,0.04,0.01,0.05,0.01,0.01,0.01,0.01
2020-11,84.06,15.58,0.22,0.05,0.01,0.05,0.01,0,0.01,0.01
2020-12,83.85,15.68,0.33,0.06,0.01,0.03,0.01,0,0.01,0.01
